time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,6.2,75.9,3.1,7.7,153,,0,0,0
2060,1,1,1,6.3,77,3.5,8.9,191,,0,0,0
2060,1,1,2,6.3,77.2,3.7,9.6,215,,0,0,0
2060,1,1,3,6.3,77,3.9,10.3,241,,0,0,0
2060,1,1,4,6.2,75.9,4,10.8,253,,0,0,0
2060,1,1,5,6,75,3.8,10.2,255,,0,0,0
2060,1,1,6,5.8,74.1,3.7,9.7,260,,0,0,0
2060,1,1,7,5.8,72.1,3.4,9.4,266,,3,0,0
2060,1,1,8,5.7,69.2,3.5,9.8,267,,24,24,0
2060,1,1,9,5.4,70.2,2.5,9.6,295,,48,48,0
2060,1,1,10,5.1,72.8,2,5.4,294,,81,81,0
2060,1,1,11,5,72.4,2,6.5,321,,105,105,0
2060,1,1,12,5.2,64.6,2.6,6.7,317,,141,139,6
2060,1,1,13,5,64.4,3.1,7.4,316,,127,122,15
2060,1,1,14,4.8,64.9,2.2,7.4,315,,82,80,11
2060,1,1,15,4.4,64.6,2.7,7.9,329,,19,19,0
2060,1,1,16,3.7,63.4,3.4,10.4,330,,2,0,0
2060,1,1,17,3,57.4,4,9.7,323,,1,0,0
2060,1,1,18,2.2,58.7,3,8.9,316,,0,0,0
2060,1,1,19,1.7,57.1,2.9,7.4,316,,0,0,0
2060,1,1,20,1.7,55.3,2.3,6.9,299,,0,0,0
2060,1,1,21,1.6,55.6,3.1,7.4,274,,0,0,0
2060,1,1,22,1.6,53.8,3.2,8.2,270,,0,0,0
2060,1,1,23,1.7,55.7,3.9,9.2,250,,0,0,0
2060,1,2,0,1.7,55.8,3.4,11.8,234,,0,0,0
2060,1,2,1,1.3,60.7,4.6,12.1,250,,0,0,0
2060,1,2,2,0.7,75.7,4.9,10.8,261,,0,0,0
2060,1,2,3,0.8,82.9,4,8.8,263,,0,0,0
2060,1,2,4,0.1,83.1,5.2,13.9,282,,0,0,0
2060,1,2,5,-0.8,67.7,3.6,8.4,285,,0,0,0
2060,1,2,6,-1.3,62.5,2,6.9,313,,0,0,0
2060,1,2,7,-1.1,61.3,1.8,6.4,294,,1,0,0
2060,1,2,8,-0.9,63.2,2.5,8.9,286,,18,18,0
2060,1,2,9,-0.8,70.1,2,10.6,165,,17,17,0
2060,1,2,10,-0.7,73.8,0.9,4.4,146,,36,36,0
2060,1,2,11,-0.6,76.1,0.9,4.1,153,,45,45,0
2060,1,2,12,-0.2,70.2,0.6,2,315,,100,100,0
2060,1,2,13,0.1,68.9,1,4.8,159,,135,120,47
2060,1,2,14,0.3,75.5,0.8,4,203,,48,48,0
2060,1,2,15,0.4,71.4,1,3.6,230,,11,11,0
2060,1,2,16,0.1,73.2,1.4,7.6,243,,1,0,0
2060,1,2,17,0,78,1.5,5.6,171,,1,0,0
2060,1,2,18,-0.1,80.4,2.3,6.4,238,,0,0,0
2060,1,2,19,-0.3,83.4,2.2,6.1,248,,0,0,0
2060,1,2,20,0.1,83.4,2.7,6,255,,0,0,0
2060,1,2,21,0.2,85.6,2.6,5.9,259,,0,0,0
2060,1,2,22,0.3,85.8,2.9,5.8,268,,0,0,0
2060,1,2,23,0.5,84.8,2.7,6.1,270,,0,0,0
2060,1,3,0,0.6,84.5,2.4,6,272,,0,0,0
2060,1,3,1,0.5,85.1,2.4,7.4,279,,0,0,0
2060,1,3,2,0.4,86,2.3,6.1,306,,0,0,0
2060,1,3,3,0.3,86.3,1.9,4.7,323,,0,0,0
2060,1,3,4,0.4,85.8,1.5,3.3,326,,0,0,0
2060,1,3,5,0.2,83.6,1.7,3.3,11,,0,0,0
2060,1,3,6,0.4,83.1,1.1,3.5,333,,0,0,0
2060,1,3,7,0.2,77.5,1.8,5,19,,3,0,0
2060,1,3,8,0.3,74.3,1.7,4.8,25,,67,34,294
2060,1,3,9,0.4,71.5,1.9,5.2,13,,200,71,569
2060,1,3,10,1,67.1,3.7,8.3,37,,277,68,681
2060,1,3,11,1.3,67.4,3.5,7.8,24,,311,63,713
2060,1,3,12,1.4,65.8,2.9,6.9,35,,306,63,699
2060,1,3,13,1.4,61.7,3.6,8.5,28,,251,62,627
2060,1,3,14,1.2,63.4,3.6,8.8,28,,173,46,578
2060,1,3,15,0.8,65.2,3.7,9.6,27,,66,32,332
2060,1,3,16,0.1,66.4,4.3,9.3,36,,2,0,0
2060,1,3,17,-0.4,68.4,4.3,9.8,36,,0,0,0
2060,1,3,18,-0.6,69.5,3.8,9.8,28,,0,0,0
2060,1,3,19,-0.9,68.9,3.6,8.7,17,,0,0,0
2060,1,3,20,-1.3,69.3,4.5,10.5,20,,0,0,0
2060,1,3,21,-1.7,69.7,4,10.4,29,,0,0,0
2060,1,3,22,-1.8,70.6,3.7,11.3,23,,0,0,0
2060,1,3,23,-2.2,72.8,2.9,10.5,14,,0,0,0
2060,1,4,0,-2.6,73.1,3.1,10.1,33,,0,0,0
2060,1,4,1,-2.7,71.2,1.6,6.5,38,,0,0,0
2060,1,4,2,-3,70.4,3,7,28,,0,0,0
2060,1,4,3,-3.4,72,3.4,10.5,37,,0,0,0
2060,1,4,4,-3.4,72.3,4.1,11.4,48,,0,0,0
2060,1,4,5,-3.4,72.5,5.8,13,46,,0,0,0
2060,1,4,6,-3.5,73.8,4.7,11.4,35,,0,0,0
2060,1,4,7,-3.5,72.2,3.5,9.6,29,,4,0,0
2060,1,4,8,-3.3,71.8,4,11,25,,69,33,314
2060,1,4,9,-2.7,71,4.1,12.1,32,,194,63,576
2060,1,4,10,-1.9,68.8,4.2,12.6,38,,274,59,696
2060,1,4,11,-1.6,66.6,3.4,12.8,50,,313,63,714
2060,1,4,12,-1.4,65.3,2.5,10.3,45,,297,70,652
2060,1,4,13,-1.1,64.2,3.7,10.5,22,,246,70,578
2060,1,4,14,-1.4,65.2,3.8,10.6,22,,168,50,535
